1;24con.com;Buenos Aires;San Martín;Digital;Interés general
2;26Noticias.com.ar ;Buenos Aires;San Justo;Digital;Interés general
3;ABC1 Digital ;Entre Ríos;Paraná;Digital;Interés general
4;Abierta TV;Capital Federal;;Digital;Interés general
5;Actualidad Misiones;Misiones;Posadas;Digital;Interés general
6;Adn Mundo;Capital Federal;;Agencia;Interés general
7;ADN Agencia Digital de Noticias;Río Negro;Viedma;Agencia;Interés general
8;ADNciudad.com;Capital Federal;;Digital;Interés general
9;Agencia CyTA- Instituto Leloir;Capital Federal;;Digital;Salud
10;Agencia de Noticias Digital (Prov. Buenos Aires);Capital Federal;;Digital;Interés general
11;Agencia La Provincia;Buenos Aires;Salto;Agencia;Interés general
12;Agencia Latina Salud;Capital Federal;;Agencia;Salud
13;Agencia Nova;Buenos Aires;La Plata;Agencia;Interés general
14;CID - Diario del Viajero;Capital Federal;;Periódico;Interés general
15;AgenciaFe;Santa Fe;*;Agencia;Interés general
16;AIM;Entre Ríos;Paraná;Digital;Interés general
17;Ambito.com;Capital Federal;;Digital;Interés general
18;América 2;Capital Federal;;Televisión;Interés general
19;América 24;Capital Federal;;Televisión;Interés general
20;InfoCharata;Chaco;Charata ;Digital;Interés general
21;ANBariloche;Río Negro;Bariloche;Agencia;Interés general
22;ANInoticias;Buenos Aires;*;Agencia;Interés general
23;FM 106.9 - Antena 3 ;Buenos Aires;Escobar;Radio;Interés general
24;APF Digital;Entre Ríos;Paraná;Digital;Interés general
25;Argentina Municipal;Capital Federal;;Digital;Interés general
26;Bariloche 2000;Río Negro;Bariloche;Digital;Interés general
27;Buenos Aires Herald ;Capital Federal;;Periódico;Interés general
28;Cadenaaero.info;Capital Federal;;Digital;Interés general
29;CadenaGlobal.com.ar;Salta;Salta;Digital;Interés general
30;Cadena3.com;Córdoba;Córdoba;Digital;Interés general
31;Canal Provincial / Telered;Buenos Aires;Pilar;Televisión;Interés general
32;Catamarcaya.com;Catamarca;San Fernando;Digital;Interés general
33;Chacas Noticias;Chaco;Resistencia;Digital;Interés general
34;Ciudad;Capital Federal;;Digital;Interés general
35;Ciudadano;Mendoza;Godoy Cruz;Digital;Interés general
36;CN Saladillo;Buenos Aires;Saladillo;Digital;Interés general
37;Compacto de Noticias;Entre Ríos;Paraná;Digital;Interés general
38;Consignas;Tierra del Fuego;*;Digital;Interés general
